Date,Close
24-01-2022,211.8000031
25-01-2022,214.3000031
27-01-2022,214.6000061
28-01-2022,217.6000061
31-01-2022,220.1999969
01-02-2022,227.75
02-02-2022,232.1499939
03-02-2022,234.4499969
04-02-2022,234.3000031
07-02-2022,230.1999969
08-02-2022,231.25
09-02-2022,230.1499939
10-02-2022,232.25
11-02-2022,232.4499969
14-02-2022,219.4499969
15-02-2022,223
16-02-2022,222.75
17-02-2022,222.6499939
18-02-2022,221.8999939
21-02-2022,218
22-02-2022,214.8500061
23-02-2022,215.9499969
24-02-2022,208.5
25-02-2022,213.9499969
28-02-2022,215.8500061
02-03-2022,215.3000031
03-03-2022,219.3999939
04-03-2022,225.5
07-03-2022,224.9499969
08-03-2022,226.8999939
09-03-2022,229.25
10-03-2022,232
11-03-2022,236.3500061
14-03-2022,239
15-03-2022,237.8500061
16-03-2022,242.6000061
17-03-2022,244.8999939
21-03-2022,244.5
22-03-2022,249.75
23-03-2022,252
24-03-2022,254.8500061
25-03-2022,253.3500061
28-03-2022,257.0499878
29-03-2022,254.6000061
30-03-2022,249.1999969
31-03-2022,250.6499939
01-04-2022,253.3000031
04-04-2022,255.4499969
05-04-2022,259.4500122
06-04-2022,259.6000061
07-04-2022,256.6499939
08-04-2022,267.7999878
11-04-2022,267.5
12-04-2022,264.7999878
13-04-2022,269.5499878
18-04-2022,270.1000061
19-04-2022,261.5499878
20-04-2022,259.5499878
21-04-2022,260.3999939
22-04-2022,261.1000061
25-04-2022,255.25
26-04-2022,258.9500122
27-04-2022,257.5
28-04-2022,261.1000061
29-04-2022,259.5499878
02-05-2022,263.1499939
04-05-2022,259.75
05-05-2022,262.0499878
06-05-2022,266.6499939
09-05-2022,262.9500122
10-05-2022,259.75
11-05-2022,255.6499939
12-05-2022,252.8999939
13-05-2022,258.6000061
16-05-2022,254.1000061
17-05-2022,264.7000122
18-05-2022,266.7999878
19-05-2022,275.6499939
20-05-2022,280
23-05-2022,274.5
24-05-2022,270.8500061
25-05-2022,272.7000122
26-05-2022,266.7000122
27-05-2022,269.2000122
30-05-2022,269.0499878
31-05-2022,270.6499939
01-06-2022,271.8500061
02-06-2022,273.5
03-06-2022,272.7000122
06-06-2022,274.7999878
07-06-2022,273.8999939
08-06-2022,267.8999939
09-06-2022,270.8500061
10-06-2022,270.1499939
13-06-2022,264.6499939
14-06-2022,265.4500122
15-06-2022,263.3999939
16-06-2022,260.7000122
17-06-2022,263.2999878
20-06-2022,264.1000061
21-06-2022,269.8999939
22-06-2022,265.2999878
23-06-2022,265.5
24-06-2022,265.8500061
27-06-2022,269.9500122
28-06-2022,271.8500061
29-06-2022,274.0499878
30-06-2022,273.5
01-07-2022,284.3500061
04-07-2022,291.8999939
05-07-2022,286.8999939
06-07-2022,289.2999878
07-07-2022,291.9500122
08-07-2022,293.0499878
11-07-2022,295
12-07-2022,292.7000122
13-07-2022,294.0499878
14-07-2022,290.8500061
15-07-2022,293.5499878
18-07-2022,295.2999878
19-07-2022,294.6000061
20-07-2022,298.2000122
21-07-2022,299.5499878
22-07-2022,300.5499878
25-07-2022,301.1000061
26-07-2022,302.4500122
27-07-2022,304.1499939
28-07-2022,303.4500122
29-07-2022,303.0499878
01-08-2022,307.5
02-08-2022,309.9500122
03-08-2022,308.1499939
04-08-2022,309.5
05-08-2022,310.8500061
08-08-2022,313.1499939
10-08-2022,311.2000122
11-08-2022,306.25
12-08-2022,308.5499878
16-08-2022,310.5499878
17-08-2022,312.5499878
18-08-2022,315.6499939
19-08-2022,312
22-08-2022,314.3999939
23-08-2022,315.8999939
24-08-2022,314.1000061
25-08-2022,312.3500061
26-08-2022,312.8999939
29-08-2022,313.5499878
30-08-2022,320.5
01-09-2022,317.6000061
02-09-2022,323.1499939
05-09-2022,328.8500061
06-09-2022,327.1499939
07-09-2022,326.1000061
08-09-2022,329.8999939
09-09-2022,330.5
12-09-2022,330.8999939
13-09-2022,334.3999939
14-09-2022,335.3500061
15-09-2022,334.1000061
16-09-2022,331.2999878
19-09-2022,335.6000061
20-09-2022,336
21-09-2022,340.9500122
22-09-2022,345.0499878
23-09-2022,346.3999939
26-09-2022,332.6000061
27-09-2022,334.8500061
28-09-2022,324.9500122
29-09-2022,333.0499878
30-09-2022,332.2000122
